heatid,total_energy,total_duration_min,total_o2,total_gas,total_carbon,total_charge,mat_140107,mat_202007,mat_202008,mat_202039,mat_202063,mat_203068,mat_203085,mat_205069,mat_360258,mat_705043,target_valc,target_valsi,target_valmn,target_valp,target_vals,target_valcu,target_valcr,target_valmo,target_valni,target_valas,target_valsn,target_valn,init_valc,init_valsi,init_valmn,init_valp,init_vals,init_valcu,init_valcr,init_valmo,init_valni
6F0655,11.976493055555554,31.78333333333333,4178.0,755.0,978.0,2509.0,0.0,630.0,181.0,307.0,0.0,0.0,0.0,280.0,814.0,0.0,0.0858,0.0167,0.096,0.0041,0.0156,0.1679,0.0486,0.0116,0.1069,0.0055,0.0056,0.0149,0.1323,0.2563,0.5499,0.0054,0.0023,0.1701,0.5214,0.0117,0.109
6F2570,10.162916666666666,34.03333333333333,5338.0,709.0,778.0,4455.0,0.0,902.0,0.0,614.0,0.0,250.0,0.0,200.0,1600.0,0.0,0.0508,0.0187,0.0612,0.0058,0.0364,0.1937,0.0437,0.0116,0.1198,0.0057,0.0062,0.0125,0.0941,0.1354,0.3663,0.0063,0.0182,0.2006,0.4215,0.0117,0.1284
5F5870,7.693402777777778,34.166666666666664,3774.0,784.0,897.0,1930.0,0.0,500.0,350.0,0.0,500.0,80.0,0.0,0.0,500.0,0.0,0.054,0.0161,0.09,0.0065,0.0225,0.1848,0.0763,0.0185,0.142,0.0064,0.0063,0.0103,0.2154,0.216,0.5445,0.0075,0.0181,0.1839,0.0927,0.018,0.1427
8F4343,7.862916666666667,35.88333333333333,4210.0,552.0,705.0,1846.0,714.0,446.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0583,0.0202,0.1017,0.006,0.0317,0.18,0.1117,0.0239,0.1887,0.0058,0.0065,,0.154,0.1946,0.3504,0.0063,0.0054,0.1791,0.1141,0.0244,0.1831
7F0978,8.440277777777778,36.53333333333333,5182.0,731.0,1520.0,2987.0,0.0,1696.0,0.0,0.0,237.0,428.0,50.0,0.0,501.0,0.0,,,,,,,,,,,,,0.3863,0.2167,0.8746,0.0076,0.0243,0.1682,0.1352,0.0328,0.2023
6F1887,9.524826388888888,32.21666666666667,4401.0,517.0,467.0,2923.0,0.0,576.0,165.0,512.0,0.0,500.0,0.0,240.0,814.0,0.0,0.0646,0.0173,0.0804,0.005,0.0193,0.1758,0.0475,0.0171,0.1135,0.0046,0.0052,0.0063,0.1041,0.2291,0.4718,0.0053,0.0088,0.1737,0.3991,0.0178,0.1145
8F3399,7.602777777777778,35.35,4127.0,616.0,441.0,3173.0,703.0,2021.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0703,0.0165,0.1415,0.0056,0.0339,0.2123,0.1039,0.0244,0.1468,0.0063,0.0081,0.0059,0.1943,0.1974,1.2136,0.0065,0.0072,0.2055,0.1151,0.026,0.1528
6F3286,9.286111111111113,31.383333333333336,3992.0,752.0,634.0,4629.0,0.0,634.0,319.0,829.0,0.0,0.0,0.0,133.0,558.0,0.0,0.0495,0.0178,0.0615,0.0094,0.037,0.1856,0.0784,0.1238,0.1264,0.0063,0.0079,0.0039,0.1139,0.1202,0.4812,0.0108,0.0247,0.1867,0.7513,0.1251,0.1302
6F5183,8.927083333333334,35.18333333333334,4503.0,585.0,586.0,3562.0,0.0,2338.0,0.0,0.0,305.0,237.0,40.0,140.0,502.0,0.0,0.0885,0.0199,0.1067,0.0045,0.0225,0.1846,0.0577,0.0183,0.1379,0.0066,0.007,0.014,0.2902,0.3838,1.4148,0.0061,0.0124,0.1786,0.0849,0.0174,0.135
6F3130,13.52142361111111,35.699999999999996,4740.0,839.0,1529.0,4025.0,0.0,2446.0,170.0,0.0,283.0,547.0,44.0,88.0,447.0,0.0,0.0402,0.018,0.0822,0.0079,0.0314,0.2128,0.0552,0.0119,0.1322,0.0065,0.0077,0.0175,0.344,0.388,1.3844,0.0083,0.02,0.2095,0.2213,0.012,0.1327
8F4963,8.76388888888889,36.166666666666664,4018.0,626.0,870.0,1923.0,703.0,406.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0161,0.1334,0.0063,0.0323,0.1841,0.089,0.0281,0.1352,0.0066,0.0075,0.0109,0.1541,0.1525,0.3849,0.007,0.0069,0.1847,0.1111,0.0283,0.1379
