heatid,valc,valsi,valmn,valp,vals,valcu,valcr,valmo,valni,total_o2_lance,total_gas_lance,total_injected_carbon,added_mat_140107,added_mat_202007,added_mat_202008,added_mat_202039,added_mat_202063,added_mat_203068,added_mat_203085,added_mat_205069,added_mat_360258,added_mat_705043,target_temperature
6F0020,"0,2312","0,2449","1,2652","0,0076","0,0147","0,2072","0,0726","0,0194","0,1323",0.0,0.0,0.0,0.0,2067.0,0.0,0.0,0.0,237.0,40.0,100.0,414.0,0.0,1650.0
6F0021,"0,2507","0,2687","1,2916","0,0055","0,0204","0,2045","0,0747","0,0206","0,1326",0.0,0.0,0.0,0.0,2065.0,0.0,0.0,0.0,238.0,50.0,75.0,2912.0,0.0,1649.0
6F0022,"0,234","0,2276","1,1963","0,0056","0,0193","0,1898","0,0695","0,0203","0,1218",0.0,0.0,0.0,0.0,2066.0,0.0,0.0,0.0,236.0,50.0,75.0,416.0,0.0,1636.0
6F0023,"0,3652","0,2154","0,7934","0,0078","0,025","0,2154","0,0956","0,0342","0,2051",0.0,0.0,0.0,0.0,1267.0,0.0,0.0,156.0,419.0,50.0,75.0,412.0,0.0,1665.0
6F0024,"0,374","0,1932","0,7948","0,0071","0,0202","0,2191","0,1029","0,0267","0,1534",0.0,0.0,0.0,0.0,1270.0,0.0,0.0,155.0,418.0,50.0,75.0,413.0,0.0,1633.0
6F0025,"0,4064","0,2261","0,8128","0,0068","0,0199","0,2145","0,1005","0,0293","0,1908",0.0,0.0,0.0,0.0,1316.0,0.0,0.0,153.0,470.0,50.0,75.0,411.0,0.0,1634.0
6F0026,"0,3871","0,2138","0,7908","0,0075","0,0227","0,2056","0,0894","0,0295","0,1905",0.0,0.0,0.0,0.0,1319.0,0.0,0.0,155.0,467.0,50.0,75.0,413.0,0.0,1628.0
6F0027,"0,4159","0,2245","0,8213","0,0079","0,0228","0,2209","0,1092","0,0292","0,1973",0.0,0.0,0.0,0.0,1315.0,0.0,0.0,154.0,477.0,50.0,75.0,411.0,0.0,1651.0
6F0028,"0,4124","0,2032","0,8088","0,0051","0,0143","0,2019","0,0937","0,0259","0,1587",0.0,0.0,0.0,0.0,1315.0,0.0,0.0,152.0,471.0,50.0,75.0,413.0,0.0,1640.0
6F0029,"0,3812","0,1755","0,7419","0,0072","0,0223","0,2191","0,0982","0,0234","0,1594",0.0,0.0,0.0,0.0,1317.0,0.0,0.0,155.0,474.0,50.0,75.0,412.0,0.0,1645.0
6F0030,"0,3738","0,1917","0,7815","0,0066","0,0207","0,212","0,1031","0,0227","0,1626",0.0,0.0,0.0,0.0,1318.0,0.0,0.0,152.0,469.0,50.0,75.0,414.0,0.0,1641.0
6F0031,"0,4042","0,21","0,8395","0,0064","0,0195","0,217","0,1136","0,0261","0,1566",0.0,0.0,0.0,0.0,1319.0,0.0,0.0,153.0,468.0,0.0,0.0,412.0,0.0,1640.0
6F0032,"0,391","0,2091","0,8237","0,0083","0,017","0,25","0,1041","0,0247","0,1751",0.0,0.0,0.0,0.0,1317.0,0.0,0.0,153.0,467.0,0.0,0.0,414.0,0.0,1650.0
6F0033,"0,3806","0,179","0,7442","0,008","0,0154","0,2305","0,0987","0,0209","0,1676",0.0,0.0,0.0,0.0,1317.0,0.0,0.0,156.0,471.0,0.0,0.0,415.0,0.0,1648.0
6F0034,"0,3604","0,1861","0,7238","0,0074","0,0223","0,2155","0,0979","0,0206","0,1832",0.0,0.0,0.0,0.0,1318.0,0.0,0.0,152.0,470.0,0.0,0.0,414.0,0.0,1647.0
